h0,h1,h2,h3,h4,h5,h6,Final Score
8,2,1,2,5,0,2,67258.0
8,2,1,2,5,0,7,60046.0
8,2,1,2,5,0,6,64975.0
8,2,1,2,5,1,6,68131.0
8,2,1,2,5,1,3,68102.0
8,2,1,2,5,1,4,35218.0
8,2,1,2,5,3,0,68529.0
8,2,1,2,5,3,1,69403.0
8,2,1,2,5,3,6,65527.0
8,2,1,2,0,6,6,61220.0
8,2,1,2,0,6,10,63768.0
8,2,1,2,0,6,9,63768.0
8,2,1,2,0,4,2,29435.0
8,2,1,2,0,4,9,37065.0
8,2,1,2,0,4,11,44986.0
8,2,1,2,0,10,9,68279.0
8,2,1,2,0,10,2,68179.0
8,2,1,2,0,10,4,37743.0
8,2,1,2,10,3,8,68873.0
8,2,1,2,10,3,6,66328.0
8,2,1,2,10,3,5,66950.0
8,2,1,2,10,10,8,72574.0
8,2,1,2,10,10,2,72574.0
8,2,1,2,10,10,0,68274.0
8,2,1,2,10,7,4,33364.0
8,2,1,2,10,7,6,59666.0
8,2,1,2,10,7,2,56430.0
8,2,1,11,9,2,7,61679.0
8,2,1,11,9,2,0,68550.0
8,2,1,11,9,2,2,75204.0
8,2,1,11,9,3,11,81032.0
8,2,1,11,9,3,8,72332.0
8,2,1,11,9,3,3,69633.0
8,2,1,11,9,5,8,81236.0
8,2,1,11,9,5,10,81236.0
8,2,1,11,9,5,6,79070.0
8,2,1,11,0,5,5,64661.0
8,2,1,11,0,5,9,66767.0
8,2,1,11,0,5,4,32821.0
8,2,1,11,0,7,5,58645.0
8,2,1,11,0,7,7,53096.0
8,2,1,11,0,7,2,54824.0
8,2,1,11,0,0,9,68687.0
8,2,1,11,0,0,4,37542.0
8,2,1,11,0,0,3,65995.0
8,2,1,11,3,11,10,78484.0
8,2,1,11,3,11,11,85393.0
8,2,1,11,3,11,0,69167.0
8,2,1,11,3,1,5,68970.0
8,2,1,11,3,1,4,36133.0
8,2,1,11,3,1,8,69955.0
8,2,1,11,3,2,11,74724.0
8,2,1,11,3,2,0,67159.0
8,2,1,11,3,2,1,67789.0
8,2,1,10,4,9,4,20972.0
8,2,1,10,4,9,0,30953.0
8,2,1,10,4,9,10,33237.0
8,2,1,10,4,4,7,16076.0
8,2,1,10,4,4,1,17316.0
8,2,1,10,4,4,10,17364.0
8,2,1,10,4,0,11,38560.0
8,2,1,10,4,0,3,29924.0
8,2,1,10,4,0,1,30327.0
8,2,1,10,9,0,2,67894.0
8,2,1,10,9,0,10,68464.0
8,2,1,10,9,0,8,68464.0
8,2,1,10,9,8,2,72064.0
8,2,1,10,9,8,5,72128.0
8,2,1,10,9,8,9,73614.0
8,2,1,10,9,3,8,69016.0
8,2,1,10,9,3,0,67704.0
8,2,1,10,9,3,6,66662.0
8,2,1,10,8,10,3,70147.0
8,2,1,10,8,10,0,68449.0
8,2,1,10,8,10,5,72343.0
8,2,1,10,8,7,5,56302.0
8,2,1,10,8,7,3,54858.0
8,2,1,10,8,7,10,58414.0
8,2,1,10,8,4,7,31668.0
8,2,1,10,8,4,6,35798.0
8,2,1,10,8,4,1,36386.0
8,2,9,5,11,11,5,120329.0
8,2,9,5,11,11,6,118021.0
8,2,9,5,11,11,11,129570.0
8,2,9,5,11,7,10,96339.0
8,2,9,5,11,7,6,92303.0
8,2,9,5,11,7,1,65107.0
8,2,9,5,11,5,10,110327.0
8,2,9,5,11,5,6,107163.0
8,2,9,5,11,5,4,52542.0
8,2,9,5,2,5,9,101057.0
8,2,9,5,2,5,6,96619.0
8,2,9,5,2,5,5,98985.0
8,2,9,5,2,10,4,49344.0
8,2,9,5,2,10,2,103565.0
8,2,9,5,2,10,1,73221.0
8,2,9,5,2,8,8,103565.0
8,2,9,5,2,8,6,98730.0
8,2,9,5,2,8,11,112080.0
8,2,9,5,9,4,0,42361.0
8,2,9,5,9,4,1,37157.0
8,2,9,5,9,4,4,29827.0
8,2,9,5,9,8,9,106035.0
8,2,9,5,9,8,0,97009.0
8,2,9,5,9,8,11,113065.0
8,2,9,5,9,9,4,45746.0
8,2,9,5,9,9,6,98597.0
