starting_score,heuristic_applied,previous heuristic,new_score
Infinity,8,Null,136440.0
135006.0,1,5,73890.0
134959.0,1,0,73837.0
134959.0,1,9,72657.0
72657.0,4,1,50188.0
72657.0,4,1,46161.0
69327.0,4,2,42256.0
69327.0,4,10,50538.0
66999.0,4,0,42066.0
66999.0,4,0,42030.0
66495.0,4,3,41354.0
54583.0,4,7,35807.0
51617.0,4,6,38044.0
50900.0,4,3,27868.0
50716.0,4,0,31901.0
45417.0,4,6,26216.0
26216.0,7,4,17394.0
19127.0,2,6,15727.0
19054.0,2,10,15774.0
15774.0,1,2,14024.0
22897.0,0,11,17270.0
17737.0,0,2,15083.0
15819.0,4,3,11874.0
13844.0,1,7,12398.0
13822.0,4,6,11881.0
13488.0,4,8,12045.0
1284208.0,0,8,131257.0
131257.0,4,0,70932.0
125002.0,1,6,69192.0
120281.0,1,9,66833.0
119157.0,1,3,66231.0
118736.0,1,3,65468.0
92293.0,4,7,49829.0
63083.0,1,2,39391.0
63083.0,1,8,40731.0
1284208.0,0,8,126141.0
1213361.0,0,6,130526.0
968856.0,0,7,114414.0
941420.0,0,5,106092.0
522524.0,0,4,69696.0
232172.0,0,7,39861.0
144248.0,0,9,29502.0
84524.0,4,3,17162.0
81262.0,0,1,25286.0
81262.0,0,10,25296.0
1284208.0,0,10,143807.0
143807.0,1,0,74705.0
82593.0,1,4,43531.0
56085.0,1,11,32371.0
32371.0,4,1,22296.0
32371.0,2,9,24311.0
1284208.0,0,9,135701.0
135701.0,1,0,74633.0
135701.0,1,0,76003.0
115727.0,1,7,62097.0
96502.0,1,10,52100.0
95557.0,1,3,53249.0
94236.0,1,0,51344.0
91168.0,1,3,50284.0
89958.0,1,10,48446.0
61868.0,1,2,36984.0
61868.0,4,9,36918.0
57906.0,1,0,33710.0
57906.0,1,10,36212.0
38863.0,7,4,21679.0
38337.0,1,0,24723.0
33145.0,1,5,23547.0
32895.0,4,3,21190.0
26831.0,1,7,19373.0
25882.0,1,6,17954.0
25882.0,1,5,17808.0
25651.0,4,0,16065.0
22041.0,1,2,16027.0
31080.0,4,11,18814.0
28008.0,1,5,21166.0
26677.0,4,6,18181.0
25589.0,1,10,19217.0
1284208.0,0,10,129512.0
1284208.0,0,10,133758.0
644454.0,0,4,88096.0
278791.0,0,10,40911.0
278791.0,0,9,39728.0
278791.0,0,5,44521.0
224271.0,0,2,46393.0
224271.0,0,8,45501.0
1284208.0,0,11,129968.0
1284208.0,0,8,136514.0
136514.0,1,0,74528.0
80231.0,7,4,33230.0
79876.0,1,0,46714.0
49134.0,7,4,25901.0
30164.0,1,2,18848.0
29862.0,1,5,18310.0
18310.0,4,1,13890.0
29553.0,0,11,19889.0
23011.0,4,7,17401.0
21847.0,3,9,16853.0
17457.0,4,2,13122.0
17457.0,4,8,14719.0
1284208.0,0,8,133909.0
