h0,h1,h2,h3,h4,Final Score
10,11,8,8,7,116466.0
10,11,8,8,6,138076.0
10,11,8,8,3,132627.0
10,11,8,8,0,136419.0
10,11,8,3,5,132075.0
10,11,8,3,10,135541.0
10,11,8,3,11,142776.0
10,11,8,3,3,129716.0
10,11,8,11,4,51135.0
10,11,8,11,8,151775.0
10,11,8,11,9,151775.0
10,11,8,11,0,136137.0
10,11,8,0,3,130035.0
10,11,8,0,8,136400.0
10,11,8,0,10,136400.0
10,11,8,0,0,136400.0
10,11,4,0,5,54908.0
10,11,4,0,8,56900.0
10,11,4,0,4,25105.0
10,11,4,0,1,35640.0
10,11,4,10,4,29905.0
10,11,4,10,3,55618.0
10,11,4,10,1,36738.0
10,11,4,10,9,61962.0
10,11,4,2,7,32652.0
10,11,4,2,9,37462.0
10,11,4,2,2,37462.0
10,11,4,2,5,36742.0
10,11,4,1,8,37516.0
10,11,4,1,6,35189.0
10,11,4,1,0,33967.0
10,11,4,1,9,37516.0
10,11,5,11,0,131594.0
10,11,5,11,11,153990.0
10,11,5,11,3,129978.0
10,11,5,11,4,51242.0
10,11,5,7,11,120521.0
10,11,5,7,8,114793.0
10,11,5,7,5,112058.0
10,11,5,7,6,110575.0
10,11,5,4,5,46869.0
10,11,5,4,7,42947.0
10,11,5,4,1,25627.0
10,11,5,4,9,46869.0
10,11,5,0,7,109187.0
10,11,5,0,3,128037.0
10,11,5,0,1,72232.0
10,11,5,0,2,101402.0
10,11,9,11,6,144380.0
10,11,9,11,10,153581.0
10,11,9,11,8,153581.0
10,11,9,11,2,109721.0
10,11,9,5,2,97451.0
10,11,9,5,4,41912.0
10,11,9,5,3,134893.0
10,11,9,5,9,145721.0
10,11,9,6,8,138776.0
10,11,9,6,4,44261.0
10,11,9,6,3,127763.0
10,11,9,6,0,128153.0
10,11,9,9,6,137980.0
10,11,9,9,2,106088.0
10,11,9,9,7,124119.0
10,11,9,9,4,55173.0
10,7,6,8,0,104239.0
10,7,6,8,6,102409.0
10,7,6,8,1,55288.0
10,7,6,8,8,104550.0
10,7,6,10,4,38829.0
10,7,6,10,3,100824.0
10,7,6,10,9,104550.0
10,7,6,10,11,112259.0
10,7,6,9,8,104550.0
10,7,6,9,9,104550.0
10,7,6,9,7,91528.0
10,7,6,9,5,101224.0
10,7,6,4,4,19062.0
10,7,6,4,7,39094.0
10,7,6,4,3,40116.0
10,7,6,4,11,52418.0
10,7,11,3,11,109793.0
10,7,11,3,0,102825.0
10,7,11,3,6,104281.0
10,7,11,3,9,106175.0
10,7,11,4,0,45933.0
10,7,11,4,8,47462.0
10,7,11,4,11,53566.0
10,7,11,4,5,47341.0
10,7,11,6,5,110824.0
10,7,11,6,2,70385.0
10,7,11,6,11,119453.0
10,7,11,6,1,62633.0
10,7,11,1,9,65630.0
10,7,11,1,0,57606.0
10,7,11,1,8,65630.0
10,7,11,1,6,63478.0
10,7,10,3,1,57873.0
10,7,10,3,0,107525.0
10,7,10,3,8,108077.0
10,7,10,3,10,108077.0
10,7,10,2,1,51106.0
10,7,10,2,2,73212.0
10,7,10,2,9,73212.0
10,7,10,2,5,71709.0
10,7,10,1,11,66762.0
10,7,10,1,10,57912.0
10,7,10,1,0,55869.0
10,7,10,1,6,53016.0
10,7,10,11,9,115874.0
10,7,10,11,4,35460.0
10,7,10,11,11,122801.0
10,7,10,11,1,62010.0
10,7,2,7,9,65325.0
10,7,2,7,10,65325.0
10,7,2,7,8,65325.0
10,7,2,7,6,63903.0
10,7,2,3,8,72638.0
10,7,2,3,5,72172.0
10,7,2,3,9,72638.0
10,7,2,3,0,67412.0
10,7,2,8,3,72217.0
10,7,2,8,2,75762.0
10,7,2,8,7,64387.0
10,7,2,8,4,29583.0
10,7,2,11,0,70911.0
10,7,2,11,10,83171.0
10,7,2,11,11,94191.0
10,7,2,11,9,83171.0
10,5,6,0,8,127726.0
10,5,6,0,4,49026.0
10,5,6,0,7,97902.0
10,5,6,0,9,127726.0
10,5,6,6,3,118630.0
10,5,6,6,11,132099.0
10,5,6,6,0,121880.0
10,5,6,6,7,106126.0
10,5,6,7,3,100486.0
10,5,6,7,10,103940.0
10,5,6,7,6,102084.0
10,5,6,7,4,35019.0
10,5,6,4,2,30917.0
10,5,6,4,3,50234.0
10,5,6,4,1,31779.0
10,5,6,4,10,50557.0
10,5,10,5,6,127120.0
10,5,10,5,9,133106.0
10,5,10,5,1,71712.0
10,5,10,5,2,102776.0
10,5,10,6,11,136233.0
10,5,10,6,6,123328.0
10,5,10,6,9,130731.0
10,5,10,6,10,130731.0
10,5,10,4,5,54736.0
10,5,10,4,7,50781.0
10,5,10,4,1,35324.0
10,5,10,4,10,54740.0
10,5,10,9,3,130243.0
10,5,10,9,1,72840.0
10,5,10,9,8,134980.0
10,5,10,9,0,134854.0
10,5,7,0,5,106114.0
10,5,7,0,10,106114.0
10,5,7,0,7,91923.0
10,5,7,0,8,106114.0
10,5,7,5,9,105595.0
10,5,7,5,10,105595.0
10,5,7,5,1,57667.0
10,5,7,5,6,103485.0
10,5,7,8,7,84500.0
10,5,7,8,8,106384.0
10,5,7,8,9,106384.0
10,5,7,8,4,40894.0
10,5,7,3,4,31831.0
10,5,7,3,0,103029.0
10,5,7,3,10,103295.0
10,5,7,3,6,97435.0
10,5,4,3,0,41998.0
10,5,4,3,7,37212.0
10,5,4,3,11,44898.0
10,5,4,3,6,38500.0
10,5,4,1,10,25433.0
10,5,4,1,7,20621.0
10,5,4,1,4,12832.0
10,5,4,1,1,25433.0
10,5,4,7,0,36961.0
10,5,4,7,5,37322.0
10,5,4,7,1,22480.0
10,5,4,7,2,24832.0
10,5,4,9,0,43106.0
10,5,4,9,4,18817.0
10,5,4,9,1,26051.0
10,5,4,9,5,43573.0
10,2,3,3,0,101087.0
10,2,3,3,10,103584.0
10,2,3,3,6,98636.0
10,2,3,3,5,102560.0
10,2,3,5,3,99239.0
10,2,3,5,4,34481.0
10,2,3,5,11,106956.0
10,2,3,5,9,103157.0
10,2,3,9,10,107325.0
10,2,3,9,3,106052.0
10,2,3,9,5,105903.0
10,2,3,9,9,107325.0
10,2,3,1,7,64224.0
10,2,3,1,11,87786.0
10,2,3,1,10,75545.0
10,2,3,1,8,75545.0
10,2,7,7,5,78538.0
10,2,7,7,4,28513.0
10,2,7,7,3,76080.0
10,2,7,7,11,83468.0
10,2,7,3,7,72540.0
10,2,7,3,1,60848.0
10,2,7,3,11,92300.0
10,2,7,3,3,84123.0
10,2,7,1,1,62303.0
10,2,7,1,6,60273.0
10,2,7,1,8,62303.0
10,2,7,1,5,61282.0
10,2,7,5,7,72945.0
10,2,7,5,1,60103.0
10,2,7,5,2,76205.0
10,2,7,5,0,80663.0
10,2,8,7,10,94787.0
10,2,8,7,3,92119.0
10,2,8,7,0,89780.0
10,2,8,7,11,99327.0
10,2,8,0,0,102733.0
10,2,8,0,2,101603.0
10,2,8,0,8,102733.0
10,2,8,0,4,43639.0
10,2,8,10,1,73940.0
10,2,8,10,3,106049.0
10,2,8,10,2,107930.0
10,2,8,10,7,90524.0
10,2,8,1,6,71849.0
10,2,8,1,8,74648.0
10,2,8,1,10,74648.0
10,2,8,1,7,61426.0
10,2,1,2,2,73734.0
10,2,1,2,6,69377.0
10,2,1,2,10,73734.0
10,2,1,2,0,68675.0
10,2,1,5,3,67859.0
10,2,1,5,0,68654.0
10,2,1,5,9,75227.0
10,2,1,5,6,71855.0
10,2,1,7,1,65594.0
10,2,1,7,2,57614.0
10,2,1,7,11,73495.0
10,2,1,7,8,65864.0
10,2,1,0,10,68773.0
10,2,1,0,5,68480.0
10,2,1,0,11,77304.0
10,2,1,0,8,68773.0
0,3,7,4,11,48787.0
0,3,7,4,1,29445.0
0,3,7,4,2,22945.0
0,3,7,4,4,24045.0
0,3,7,0,4,46821.0
0,3,7,0,0,112235.0
0,3,7,0,11,121466.0
0,3,7,0,7,93614.0
0,3,7,11,7,97968.0
0,3,7,11,5,116914.0
0,3,7,11,6,113508.0
0,3,7,11,8,119142.0
0,3,7,2,5,81791.0
0,3,7,2,3,79822.0
0,3,7,2,9,83129.0
0,3,7,2,10,83129.0
0,3,5,2,8,102941.0
0,3,5,2,6,97948.0
0,3,5,2,7,85034.0
0,3,5,2,2,102941.0
0,3,5,10,10,131051.0
0,3,5,10,6,126504.0
0,3,5,10,5,128615.0
0,3,5,10,1,72103.0
0,3,5,8,11,136157.0
0,3,5,8,5,128443.0
0,3,5,8,7,108130.0
0,3,5,8,4,45464.0
0,3,5,1,7,58694.0
0,3,5,1,2,69185.0
0,3,5,1,8,72025.0
0,3,5,1,6,68772.0
0,3,3,1,8,72506.0
0,3,3,1,3,70120.0
0,3,3,1,11,76484.0
0,3,3,1,4,28526.0
0,3,3,3,1,70994.0
0,3,3,3,6,119200.0
0,3,3,3,9,123738.0
0,3,3,3,5,121829.0
0,3,3,4,10,51293.0
0,3,3,4,7,36426.0
0,3,3,4,5,51293.0
0,3,3,4,2,29543.0
0,3,3,10,11,133441.0
0,3,3,10,7,105188.0
0,3,3,10,2,101154.0
0,3,3,10,0,127640.0
0,3,10,5,7,106224.0
0,3,10,5,0,130916.0
0,3,10,5,4,46196.0
0,3,10,5,8,131109.0
0,3,10,4,0,50583.0
0,3,10,4,9,51797.0
0,3,10,4,5,49761.0
0,3,10,4,10,51797.0
0,3,10,11,0,133664.0
0,3,10,11,9,141515.0
0,3,10,11,10,141515.0
0,3,10,11,1,79553.0
0,3,10,8,3,128891.0
0,3,10,8,9,133705.0
0,3,10,8,4,49711.0
0,3,10,8,0,133548.0
0,1,3,1,8,70093.0
0,1,3,1,7,59045.0
0,1,3,1,3,68794.0
0,1,3,1,5,68103.0
0,1,3,10,3,69353.0
0,1,3,10,2,68437.0
0,1,3,10,9,70167.0
0,1,3,10,6,65949.0
0,1,3,9,3,68635.0
0,1,3,9,8,70167.0
0,1,3,9,6,68629.0
0,1,3,9,1,69987.0
0,1,3,6,4,24677.0
0,1,3,6,9,67096.0
0,1,3,6,0,66133.0
0,1,3,6,2,63786.0
0,1,11,9,2,75199.0
0,1,11,9,5,81324.0
0,1,11,9,0,71854.0
0,1,11,9,11,95385.0
0,1,11,1,7,66259.0
0,1,11,1,10,79825.0
0,1,11,1,8,79825.0
0,1,11,1,3,71594.0
0,1,11,3,8,72854.0
0,1,11,3,4,32151.0
0,1,11,3,3,69098.0
0,1,11,3,1,70216.0
0,1,11,11,2,78905.0
0,1,11,11,0,70835.0
0,1,11,11,6,86568.0
0,1,11,11,9,91245.0
0,1,8,0,4,25941.0
0,1,8,0,6,67893.0
0,1,8,0,0,71324.0
0,1,8,0,9,71324.0
0,1,8,3,2,68886.0
0,1,8,3,6,65732.0
0,1,8,3,3,69890.0
0,1,8,3,4,27866.0
0,1,8,7,11,72868.0
0,1,8,7,4,23583.0
