starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,302271.0
302271.0,4,11,4110.0
4110.0,3,4,2621.0
2621.0,2,3,1760.0
1760.0,4,2,465.0
465.0,2,4,445.0
445.0,4,2,430.0
430.0,3,4,385.0
385.0,5,3,385.0
385.0,10,5,385.0
385.0,3,10,385.0
385.0,10,3,385.0
385.0,4,10,385.0
385.0,10,4,385.0
385.0,9,10,385.0
385.0,5,9,385.0
385.0,10,5,385.0
385.0,9,10,385.0
385.0,8,9,385.0
385.0,4,8,385.0
385.0,4,4,385.0
385.0,5,4,385.0
385.0,9,5,385.0
385.0,5,9,385.0
385.0,10,5,385.0
385.0,9,10,385.0
385.0,5,9,385.0
385.0,10,5,385.0
385.0,9,10,385.0
385.0,8,9,385.0
385.0,3,8,385.0
385.0,9,3,385.0
385.0,8,9,385.0
385.0,4,8,385.0
385.0,10,4,385.0
385.0,9,10,385.0
385.0,5,9,385.0
385.0,10,5,385.0
385.0,9,10,385.0
385.0,4,9,385.0
385.0,10,4,385.0
385.0,5,10,385.0
385.0,4,5,385.0
385.0,9,4,385.0
385.0,4,9,385.0
385.0,9,4,385.0
385.0,4,9,385.0
385.0,8,4,385.0
385.0,5,8,385.0
385.0,10,5,385.0
385.0,5,10,385.0
385.0,2,5,385.0
385.0,10,2,385.0
385.0,9,10,385.0
385.0,2,9,385.0
385.0,10,2,385.0
385.0,9,10,385.0
385.0,4,9,385.0
385.0,10,4,385.0
385.0,8,10,385.0
385.0,5,8,385.0
385.0,8,5,385.0
385.0,5,8,385.0
385.0,5,5,385.0
385.0,10,5,385.0
385.0,8,10,385.0
385.0,1,8,385.0
385.0,10,1,385.0
385.0,5,10,385.0
385.0,5,5,385.0
385.0,3,5,385.0
385.0,10,3,385.0
385.0,9,10,385.0
385.0,5,9,385.0
385.0,10,5,385.0
385.0,9,10,385.0
385.0,3,9,385.0
385.0,10,3,385.0
385.0,8,10,385.0
385.0,3,8,385.0
385.0,5,3,385.0
385.0,10,5,385.0
385.0,9,10,385.0
385.0,8,9,385.0
385.0,4,8,385.0
385.0,8,4,385.0
385.0,5,8,385.0
385.0,10,5,385.0
385.0,9,10,385.0
385.0,5,9,385.0
385.0,10,5,385.0
385.0,8,10,385.0
385.0,5,8,385.0
385.0,4,5,385.0
385.0,9,4,385.0
385.0,8,9,385.0
385.0,5,8,385.0
385.0,1,5,385.0
385.0,10,1,385.0
385.0,9,10,385.0
